login,CUSTOMER_ID,type,ANNOS,CAPTURE_DATE,MARKETPLACE_ID,ORDER_ID,order_datetime,CONDITION,ORD_TOT,model_name,pred_risk,bctry_cd,cctry_cd,sctry_cd,ictry_cd,emaildomain,paymeth,gls,asins,avs,isfba,hasprime,seg,fastlane,scid,comp_dayob,numitem,fingerprint,CLUSTER_AFN_ORDER_COUNT_03M,CLUSTER_AFN_ORDER_COUNT_12M,CLUSTER_AFN_ORDER_AMOUNT_03M,CLUSTER_AFN_ORDER_AMOUNT_12M,CUSTOMER_MFN_ORDER_COUNT_03M,CUSTOMER_MFN_ORDER_COUNT_12M,CUSTOMER_MFN_ORDER_AMOUNT_03M,CUSTOMER_MFN_ORDER_AMOUNT_12M,CUSTOMER_MFN_SI_12M,CUSTOMER_MFN_SI_03M,CLUSTER_DNR_SI_12M,CLUSTER_DNR_SI_03M,CLUSTER_SINS_12M,CLUSTER_SINS_03M,STATUS,unique_id,report_generation_date,ONR
abc,969875888102,,ARM QUEUING: Please evaluate the accounts for tt/d113007432,2024-11-24 00:00:00.000,1,112-3161687-4984251,2024-11-24T15:23:50,20,1244.69,tier2,0.7693867302772149,,,,,,,,,,,,,,,,,,5.0,5.0,369.01,369.01,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,N,142f253b8aca6ad64d4b3080a2da774c,2024-11-24 00:00:00.000,0
abc,977573616702,,ARM QUEUING: Please evaluate the accounts for tt/d113007432,2024-11-24 00:00:00.000,1,113-1922602-8797005,2024-11-24T21:56:17,3,12.26,tier1,0.8446813423677317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,f00b96fe77e76e364b9b82ad97a2c4c2,2024-11-24 00:00:00.000,0
abc,978980132402,,ARM QUEUING: Please evaluate the accounts for tt/d139889713,2024-11-24 00:00:00.000,1,111-4943949-5859467,2024-11-24T14:42:10,3,140.45,tier3,1.0,US,US,US,,,CC,"79,201","B016Y8JSC2,B0764HS4SL,B08ZB8PQR6,B0BMQ8THSD",,1.0,0.0,3.0,1.0,608808520.0,0.0,4.0,eJsmV2bc6q+3FQg95skyCg==,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,N,39f7973263bbba49a3d8de8b1173e816,2024-11-24 00:00:00.000,0
abc,43268520012,,ARM QUEUING: Please evaluate the accounts for tt/d141997345,2024-11-24 00:00:00.000,35691,408-6160967-3685947,2024-11-24T20:09:20,20,4395.0,tier2,0.5224182119017403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,504e7a3d6bf3039241584d299ea13326,2024-11-24 00:00:00.000,0
abc,971240645702,,ARM QUEUING: Please evaluate the accounts for tt/d113007432,2024-11-24 00:00:00.000,1,114-0883273-9561863,2024-11-24T11:44:48,3,216.42,tier2,0.932363403003134,US,VE,US,,gmail.com,CC,147,"B07NKYM62D,B089D1YG11,B09LHBFPJ6,B09VCJ171S",,1.0,1.0,1.0,1.0,608808520.0,0.0,4.0,/HsQQaHHQ7kzkETn5p5ejQ==,31.0,153.0,3923.32,13541.7,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,N,28767d11773e243a1e59993c012029fa,2024-11-24 00:00:00.000,0
abc,975465372602,,ARM QUEUING: Please evaluate the accounts for tt/d139889713,2024-11-24 00:00:00.000,1,113-1238209-1861013,2024-11-25T00:32:42,3,127.1,tier3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,63cf8b4d62a46902d5fd0922117d079f,2024-11-24 00:00:00.000,0
abc,952935915502,,ARM QUEUING: Please evaluate the accounts for tt/d141997345,2024-11-24 00:00:00.000,7,701-3604135-4709067,2024-11-24T15:53:03,20,6328.22,tier2,0.7677642665173063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,f8b8512df304551e180074873c13ad81,2024-11-24 00:00:00.000,0
abc,978947130802,,ARM QUEUING: Please evaluate the accounts for tt/d139889713,2024-11-24 00:00:00.000,1,112-4116894-4307460,2024-11-24T16:50:42,4,34.9,tier1,0.3234262573679589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,c825a822eb5b2cec0db6081aaf3d6a37,2024-11-24 00:00:00.000,0
abc,978759366602,,ARM QUEUING: Please evaluate the accounts for tt/d113007432,2024-11-24 00:00:00.000,1,114-1614936-3848243,2024-11-24T08:45:34,3,701.91,tier2,0.747906135124056,US,,US,,gmail.com,Installments,107,B0D7HVCD8R,,1.0,0.0,1.0,1.0,608808520.0,0.0,1.0,ERchBi5M7Fbs9KAQc4VwBA==,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,N,85601cd10f66362bd9e3eb55057203d2,2024-11-24 00:00:00.000,0
abc,978939188602,,ARM QUEUING: Please evaluate the accounts for tt/d139889713,2024-11-24 00:00:00.000,1,111-3871430-6640254,2024-11-24T14:09:22,5,95.16,tier3,1.0,CZ,CZ,US,,gmail.com,CC,14,1498786278,,1.0,1.0,7.0,1.0,608808520.0,0.0,1.0,I72LXVA+rFahd0TuO7dgRw==,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,N,a090539eab40cd9ac87e9d7e337adb4d,2024-11-24 00:00:00.000,0
